LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,USD_CAP,A,1960,2408.509071,
AUS,GDP,TOT,USD_CAP,A,1961,2379.169582,
AUS,GDP,TOT,USD_CAP,A,1962,2572.910414,
AUS,GDP,TOT,USD_CAP,A,1963,2747.828019,
AUS,GDP,TOT,USD_CAP,A,1964,2897.709644,
AUS,GDP,TOT,USD_CAP,A,1965,2996.975488,
AUS,GDP,TOT,USD_CAP,A,1966,3270.051273,
AUS,GDP,TOT,USD_CAP,A,1967,3441.34523,
AUS,GDP,TOT,USD_CAP,A,1968,3826.664208,
AUS,GDP,TOT,USD_CAP,A,1969,4200.716812,
AUS,GDP,TOT,USD_CAP,A,1970,4650.077117,
AUS,GDP,TOT,USD_CAP,A,1971,4862.084581,
AUS,GDP,TOT,USD_CAP,A,1972,5208.919749,
AUS,GDP,TOT,USD_CAP,A,1973,5792.452765,
AUS,GDP,TOT,USD_CAP,A,1974,6241.474421,
AUS,GDP,TOT,USD_CAP,A,1975,6934.065613,
AUS,GDP,TOT,USD_CAP,A,1976,7390.445655,
AUS,GDP,TOT,USD_CAP,A,1977,7720.400272,
AUS,GDP,TOT,USD_CAP,A,1978,8544.449053,
AUS,GDP,TOT,USD_CAP,A,1979,9442.488298,
AUS,GDP,TOT,USD_CAP,A,1980,10461.35003,
AUS,GDP,TOT,USD_CAP,A,1981,11819.86526,
AUS,GDP,TOT,USD_CAP,A,1982,11879.17816,
AUS,GDP,TOT,USD_CAP,A,1983,12674.52208,
AUS,GDP,TOT,USD_CAP,A,1984,13472.88736,
AUS,GDP,TOT,USD_CAP,A,1985,14395.71349,
AUS,GDP,TOT,USD_CAP,A,1986,14816.75295,
AUS,GDP,TOT,USD_CAP,A,1987,15933.60216,
AUS,GDP,TOT,USD_CAP,A,1988,16935.98351,
AUS,GDP,TOT,USD_CAP,A,1989,17678.36398,
AUS,GDP,TOT,USD_CAP,A,1990,17568.32446,
AUS,GDP,TOT,USD_CAP,A,1991,17926.09009,
AUS,GDP,TOT,USD_CAP,A,1992,18937.50055,
AUS,GDP,TOT,USD_CAP,A,1993,19929.78137,
AUS,GDP,TOT,USD_CAP,A,1994,21134.14664,
AUS,GDP,TOT,USD_CAP,A,1995,22098.57288,
AUS,GDP,TOT,USD_CAP,A,1996,22974.73917,
AUS,GDP,TOT,USD_CAP,A,1997,24160.25514,
AUS,GDP,TOT,USD_CAP,A,1998,25342.18977,
AUS,GDP,TOT,USD_CAP,A,1999,26777.75563,
AUS,GDP,TOT,USD_CAP,A,2000,27888.22951,
AUS,GDP,TOT,USD_CAP,A,2001,29133.08851,
AUS,GDP,TOT,USD_CAP,A,2002,30376.85316,
AUS,GDP,TOT,USD_CAP,A,2003,31827.64206,
AUS,GDP,TOT,USD_CAP,A,2004,33454.90467,
AUS,GDP,TOT,USD_CAP,A,2005,35068.84566,
AUS,GDP,TOT,USD_CAP,A,2006,37138.28415,
AUS,GDP,TOT,USD_CAP,A,2007,38775.78024,
AUS,GDP,TOT,USD_CAP,A,2008,39219.47467,
AUS,GDP,TOT,USD_CAP,A,2009,40897.04122,
AUS,GDP,TOT,USD_CAP,A,2010,42165.82842,
AUS,GDP,TOT,USD_CAP,A,2011,43583.03701,
AUS,GDP,TOT,USD_CAP,A,2012,43082.38768,
AUS,GDP,TOT,USD_CAP,A,2013,47002.99005,
AUS,GDP,TOT,USD_CAP,A,2014,46920.61776,
AUS,GDP,TOT,USD_CAP,A,2015,46761.16774,
AUS,GDP,TOT,USD_CAP,A,2016,48177.78556,
AUT,GDP,TOT,USD_CAP,A,1970,3834.186274,E
AUT,GDP,TOT,USD_CAP,A,1971,4215.680804,E
AUT,GDP,TOT,USD_CAP,A,1972,4644.59478,E
AUT,GDP,TOT,USD_CAP,A,1973,5108.264528,E
AUT,GDP,TOT,USD_CAP,A,1974,5776.797781,E
AUT,GDP,TOT,USD_CAP,A,1975,6305.539334,E
AUT,GDP,TOT,USD_CAP,A,1976,6968.044666,E
AUT,GDP,TOT,USD_CAP,A,1977,7773.217807,E
AUT,GDP,TOT,USD_CAP,A,1978,8308.19608,E
AUT,GDP,TOT,USD_CAP,A,1979,9492.066592,E
AUT,GDP,TOT,USD_CAP,A,1980,10527.27686,E
AUT,GDP,TOT,USD_CAP,A,1981,11464.2473,E
AUT,GDP,TOT,USD_CAP,A,1982,12411.43452,E
AUT,GDP,TOT,USD_CAP,A,1983,13306.5421,E
AUT,GDP,TOT,USD_CAP,A,1984,13786.62268,E
AUT,GDP,TOT,USD_CAP,A,1985,14576.40324,E
AUT,GDP,TOT,USD_CAP,A,1986,15203.06239,E
AUT,GDP,TOT,USD_CAP,A,1987,15792.53531,E
AUT,GDP,TOT,USD_CAP,A,1988,16860.25598,E
AUT,GDP,TOT,USD_CAP,A,1989,18114.84612,E
AUT,GDP,TOT,USD_CAP,A,1990,19452.47202,E
AUT,GDP,TOT,USD_CAP,A,1991,20585.16008,E
AUT,GDP,TOT,USD_CAP,A,1992,21259.91971,E
AUT,GDP,TOT,USD_CAP,A,1993,21700.72547,E
AUT,GDP,TOT,USD_CAP,A,1994,22607.73559,E
AUT,GDP,TOT,USD_CAP,A,1995,23658.75995,
AUT,GDP,TOT,USD_CAP,A,1996,24523.89462,
AUT,GDP,TOT,USD_CAP,A,1997,25412.35969,
AUT,GDP,TOT,USD_CAP,A,1998,26652.82895,
AUT,GDP,TOT,USD_CAP,A,1999,27606.48424,
AUT,GDP,TOT,USD_CAP,A,2000,29375.3968,
AUT,GDP,TOT,USD_CAP,A,2001,29739.95111,
AUT,GDP,TOT,USD_CAP,A,2002,31178.05144,
AUT,GDP,TOT,USD_CAP,A,2003,32119.01676,
AUT,GDP,TOT,USD_CAP,A,2004,33765.56574,
AUT,GDP,TOT,USD_CAP,A,2005,35024.55748,
AUT,GDP,TOT,USD_CAP,A,2006,37631.12782,
AUT,GDP,TOT,USD_CAP,A,2007,39387.13901,
AUT,GDP,TOT,USD_CAP,A,2008,41316.02264,
AUT,GDP,TOT,USD_CAP,A,2009,40928.1816,
AUT,GDP,TOT,USD_CAP,A,2010,42058.75458,
AUT,GDP,TOT,USD_CAP,A,2011,44469.20964,
AUT,GDP,TOT,USD_CAP,A,2012,46477.65508,
AUT,GDP,TOT,USD_CAP,A,2013,47936.67796,
AUT,GDP,TOT,USD_CAP,A,2014,48801.30707,
AUT,GDP,TOT,USD_CAP,A,2015,49959.25877,
AUT,GDP,TOT,USD_CAP,A,2016,50503.32841,
AUT,GDP,TOT,USD_CAP,A,2017,52560.84557,
BEL,GDP,TOT,USD_CAP,A,1970,3901.650108,E
BEL,GDP,TOT,USD_CAP,A,1971,4238.238262,E
BEL,GDP,TOT,USD_CAP,A,1972,4636.853981,E
BEL,GDP,TOT,USD_CAP,A,1973,5173.07431,E
BEL,GDP,TOT,USD_CAP,A,1974,5856.498557,E
BEL,GDP,TOT,USD_CAP,A,1975,6296.575847,E
BEL,GDP,TOT,USD_CAP,A,1976,7006.213075,E
BEL,GDP,TOT,USD_CAP,A,1977,7479.010357,E
BEL,GDP,TOT,USD_CAP,A,1978,8224.903378,E
BEL,GDP,TOT,USD_CAP,A,1979,9105.90509,E
BEL,GDP,TOT,USD_CAP,A,1980,10335.0311,E
BEL,GDP,TOT,USD_CAP,A,1981,11269.51892,E
BEL,GDP,TOT,USD_CAP,A,1982,12042.30561,E
BEL,GDP,TOT,USD_CAP,A,1983,12559.36438,E
BEL,GDP,TOT,USD_CAP,A,1984,13324.40134,E
BEL,GDP,TOT,USD_CAP,A,1985,13975.02799,E
BEL,GDP,TOT,USD_CAP,A,1986,14513.91764,E
BEL,GDP,TOT,USD_CAP,A,1987,15210.5677,E
BEL,GDP,TOT,USD_CAP,A,1988,16430.05537,E
BEL,GDP,TOT,USD_CAP,A,1989,17597.04293,E
BEL,GDP,TOT,USD_CAP,A,1990,18767.63128,E
BEL,GDP,TOT,USD_CAP,A,1991,19672.79328,E
BEL,GDP,TOT,USD_CAP,A,1992,20345.86332,E
BEL,GDP,TOT,USD_CAP,A,1993,20549.81761,E
BEL,GDP,TOT,USD_CAP,A,1994,21600.14632,E
BEL,GDP,TOT,USD_CAP,A,1995,22529.74019,
BEL,GDP,TOT,USD_CAP,A,1996,22885.31691,
BEL,GDP,TOT,USD_CAP,A,1997,23917.06932,
BEL,GDP,TOT,USD_CAP,A,1998,24543.94606,
BEL,GDP,TOT,USD_CAP,A,1999,25643.32017,
BEL,GDP,TOT,USD_CAP,A,2000,27984.68617,
BEL,GDP,TOT,USD_CAP,A,2001,28981.38146,
BEL,GDP,TOT,USD_CAP,A,2002,30482.15989,
BEL,GDP,TOT,USD_CAP,A,2003,31054.69484,
BEL,GDP,TOT,USD_CAP,A,2004,32249.93809,
BEL,GDP,TOT,USD_CAP,A,2005,33331.11566,
BEL,GDP,TOT,USD_CAP,A,2006,35390.70379,
BEL,GDP,TOT,USD_CAP,A,2007,36865.20967,
BEL,GDP,TOT,USD_CAP,A,2008,38133.4023,
BEL,GDP,TOT,USD_CAP,A,2009,38003.72669,
BEL,GDP,TOT,USD_CAP,A,2010,40089.47721,
BEL,GDP,TOT,USD_CAP,A,2011,41450.36053,
BEL,GDP,TOT,USD_CAP,A,2012,42585.15311,
BEL,GDP,TOT,USD_CAP,A,2013,43745.95156,
BEL,GDP,TOT,USD_CAP,A,2014,44742.99229,
BEL,GDP,TOT,USD_CAP,A,2015,45577.24411,
BEL,GDP,TOT,USD_CAP,A,2016,46607.39577,
BEL,GDP,TOT,USD_CAP,A,2017,47801.50498,
CAN,GDP,TOT,USD_CAP,A,1970,4555.027261,E
CAN,GDP,TOT,USD_CAP,A,1971,4919.449356,E
CAN,GDP,TOT,USD_CAP,A,1972,5349.466577,E
CAN,GDP,TOT,USD_CAP,A,1973,5960.092233,E
CAN,GDP,TOT,USD_CAP,A,1974,6641.866721,E
CAN,GDP,TOT,USD_CAP,A,1975,7282.233251,E
CAN,GDP,TOT,USD_CAP,A,1976,7975.719977,E
CAN,GDP,TOT,USD_CAP,A,1977,8661.422757,E
CAN,GDP,TOT,USD_CAP,A,1978,9540.598788,E
CAN,GDP,TOT,USD_CAP,A,1979,10615.65856,E
CAN,GDP,TOT,USD_CAP,A,1980,11671.82195,E
CAN,GDP,TOT,USD_CAP,A,1981,13046.66958,
CAN,GDP,TOT,USD_CAP,A,1982,13253.76522,
CAN,GDP,TOT,USD_CAP,A,1983,13996.04456,
CAN,GDP,TOT,USD_CAP,A,1984,15207.15755,
CAN,GDP,TOT,USD_CAP,A,1985,16287.17168,
CAN,GDP,TOT,USD_CAP,A,1986,16807.08588,
CAN,GDP,TOT,USD_CAP,A,1987,17706.99318,
CAN,GDP,TOT,USD_CAP,A,1988,18892.11488,
CAN,GDP,TOT,USD_CAP,A,1989,19725.65167,
CAN,GDP,TOT,USD_CAP,A,1990,20180.35014,
CAN,GDP,TOT,USD_CAP,A,1991,20156.742,
CAN,GDP,TOT,USD_CAP,A,1992,20553.52879,
CAN,GDP,TOT,USD_CAP,A,1993,21365.19678,
CAN,GDP,TOT,USD_CAP,A,1994,22551.98711,
CAN,GDP,TOT,USD_CAP,A,1995,23395.47392,
CAN,GDP,TOT,USD_CAP,A,1996,23954.64976,
CAN,GDP,TOT,USD_CAP,A,1997,25156.15005,
CAN,GDP,TOT,USD_CAP,A,1998,26197.93292,
CAN,GDP,TOT,USD_CAP,A,1999,27745.75131,
CAN,GDP,TOT,USD_CAP,A,2000,29265.22148,
CAN,GDP,TOT,USD_CAP,A,2001,30133.35228,
CAN,GDP,TOT,USD_CAP,A,2002,30854.82303,
CAN,GDP,TOT,USD_CAP,A,2003,32224.01572,
CAN,GDP,TOT,USD_CAP,A,2004,33815.11907,
CAN,GDP,TOT,USD_CAP,A,2005,36212.64356,
CAN,GDP,TOT,USD_CAP,A,2006,38009.87218,
CAN,GDP,TOT,USD_CAP,A,2007,39441.96499,
CAN,GDP,TOT,USD_CAP,A,2008,40277.61824,
CAN,GDP,TOT,USD_CAP,A,2009,38791.07104,
CAN,GDP,TOT,USD_CAP,A,2010,40027.20436,
CAN,GDP,TOT,USD_CAP,A,2011,41565.25893,
CAN,GDP,TOT,USD_CAP,A,2012,42145.10409,
CAN,GDP,TOT,USD_CAP,A,2013,44097.56557,
CAN,GDP,TOT,USD_CAP,A,2014,45508.06953,
CAN,GDP,TOT,USD_CAP,A,2015,44627.32347,
CAN,GDP,TOT,USD_CAP,A,2016,44792.54562,
CZE,GDP,TOT,USD_CAP,A,1990,12630.54609,E
CZE,GDP,TOT,USD_CAP,A,1991,11595.58373,E
CZE,GDP,TOT,USD_CAP,A,1992,11789.39976,E
CZE,GDP,TOT,USD_CAP,A,1993,12062.40789,E
CZE,GDP,TOT,USD_CAP,A,1994,12670.69973,E
CZE,GDP,TOT,USD_CAP,A,1995,13746.8924,
CZE,GDP,TOT,USD_CAP,A,1996,14580.11568,
CZE,GDP,TOT,USD_CAP,A,1997,14724.53327,
CZE,GDP,TOT,USD_CAP,A,1998,14893.40916,
CZE,GDP,TOT,USD_CAP,A,1999,15325.70992,
CZE,GDP,TOT,USD_CAP,A,2000,16160.74341,
CZE,GDP,TOT,USD_CAP,A,2001,17556.06789,
CZE,GDP,TOT,USD_CAP,A,2002,18182.35455,
CZE,GDP,TOT,USD_CAP,A,2003,19410.18342,
CZE,GDP,TOT,USD_CAP,A,2004,20786.58737,
CZE,GDP,TOT,USD_CAP,A,2005,21907.3056,
CZE,GDP,TOT,USD_CAP,A,2006,23715.3193,
CZE,GDP,TOT,USD_CAP,A,2007,26059.99782,
CZE,GDP,TOT,USD_CAP,A,2008,27724.41877,
CZE,GDP,TOT,USD_CAP,A,2009,27469.26687,
CZE,GDP,TOT,USD_CAP,A,2010,27581.6026,
CZE,GDP,TOT,USD_CAP,A,2011,28795.81603,
CZE,GDP,TOT,USD_CAP,A,2012,29051.39042,
CZE,GDP,TOT,USD_CAP,A,2013,30496.02004,
